pacto,comuna,votos
Apruebo Dignidad,COELEMU,628
Del pueblo,COELEMU,1494
Lista del apruebo,COELEMU,973
Nueva Constitucion,COELEMU,830
Otros,COELEMU,1232
Vamos por Chile,COELEMU,1789
Apruebo Dignidad,COIHUECO,1252
Del pueblo,COIHUECO,819
Lista del apruebo,COIHUECO,1038
Nueva Constitucion,COIHUECO,792
Otros,COIHUECO,949
Vamos por Chile,COIHUECO,2311
Apruebo Dignidad,COINCO,312
Del pueblo,COINCO,585
Lista del apruebo,COINCO,671
Otros,COINCO,1231
Vamos por Chile,COINCO,608
Apruebo Dignidad,COLBUN,1123
Del pueblo,COLBUN,3006
Lista del apruebo,COLBUN,2416
Vamos por Chile,COLBUN,1573
Apruebo Dignidad,COLCHANE,6
Lista del apruebo,COLCHANE,5
Otros,COLCHANE,87
Vamos por Chile,COLCHANE,34
Apruebo Dignidad,COLINA,8017
Del pueblo,COLINA,4085
Lista del apruebo,COLINA,4405
Otros,COLINA,6936
Vamos por Chile,COLINA,15261
Apruebo Dignidad,COLLIPULLI,307
Del pueblo,COLLIPULLI,803
Lista del apruebo,COLLIPULLI,1009
Nueva Constitucion,COLLIPULLI,779
Otros,COLLIPULLI,1095
Vamos por Chile,COLLIPULLI,1979
Apruebo Dignidad,COLTAUCO,336
Del pueblo,COLTAUCO,638
Lista del apruebo,COLTAUCO,846
Otros,COLTAUCO,4277
Vamos por Chile,COLTAUCO,1041
Apruebo Dignidad,COMBARBALA,336
Del pueblo,COMBARBALA,837
Lista del apruebo,COMBARBALA,846
Otros,COMBARBALA,4277
Vamos por Chile,COMBARBALA,1041
Apruebo Dignidad,CONCEPCION,10061
Del pueblo,CONCEPCION,7475
Lista del apruebo,CONCEPCION,12261
Nueva Constitucion,CONCEPCION,9456
Otros,CONCEPCION,19632
Vamos por Chile,CONCEPCION,17446
Apruebo Dignidad,CONCHALI,10061
Lista del apruebo,CONCHALI,12261
Nueva Constitucion,CONCHALI,9456
Otros,CONCHALI,19632
Vamos por Chile,CONCHALI,17446
Apruebo Dignidad,CONCON,7789
Del pueblo,CONCON,2997
Lista del apruebo,CONCON,4144
Nueva Constitucion,CONCON,3933
Otros,CONCON,12246
Vamos por Chile,CONCON,4465
Apruebo Dignidad,CONSTITUCION,3326
Del pueblo,CONSTITUCION,1416
Lista del apruebo,CONSTITUCION,1327
Nueva Constitucion,CONSTITUCION,1327
Otros,CONSTITUCION,4953
Vamos por Chile,CONSTITUCION,3458
Apruebo Dignidad,CONTULMO,377
Lista del apruebo,CONTULMO,140
Nueva Constitucion,CONTULMO,317
Otros,CONTULMO,632
Vamos por Chile,CONTULMO,619
Apruebo Dignidad,COPIAPO,7972
Del pueblo,COPIAPO,8957
Lista del apruebo,COPIAPO,5180
Nueva Constitucion,COPIAPO,7665
Otros,COPIAPO,4967
Vamos por Chile,COPIAPO,5141
Apruebo Dignidad,COQUIMBO,9548
Del pueblo,COQUIMBO,14687
Lista del apruebo,COQUIMBO,10828
Otros,COQUIMBO,16429
Vamos por Chile,COQUIMBO,7288
Apruebo Dignidad,CORONEL,8602
Del pueblo,CORONEL,4555
Lista del apruebo,CORONEL,3637
Nueva Constitucion,CORONEL,3561
Otros,CORONEL,8105
Vamos por Chile,CORONEL,4387
Apruebo Dignidad,CORRAL,254
Del pueblo,CORRAL,404
Lista del apruebo,CORRAL,650
Nueva Constitucion,CORRAL,255
Otros,CORRAL,474
Vamos por Chile,CORRAL,268
Apruebo Dignidad,COYHAIQUE,3868
Del pueblo,COYHAIQUE,2631
Lista del apruebo,COYHAIQUE,4180
Otros,COYHAIQUE,2004
Vamos por Chile,COYHAIQUE,4529
Apruebo Dignidad,CUNCO,568
Del pueblo,CUNCO,711
Lista del apruebo,CUNCO,595
Nueva Constitucion,CUNCO,605
Otros,CUNCO,1349
Vamos por Chile,CUNCO,1210
Apruebo Dignidad,CURACAUTIN,130
Del pueblo,CURACAUTIN,760
Lista del apruebo,CURACAUTIN,1607
Nueva Constitucion,CURACAUTIN,382
Otros,CURACAUTIN,1255
Vamos por Chile,CURACAUTIN,1107
Apruebo Dignidad,CURACAVI,2742
Del pueblo,CURACAVI,1881
Lista del apruebo,CURACAVI,2114
Nueva Constitucion,CURACAVI,1948
Otros,CURACAVI,769
Vamos por Chile,CURACAVI,2683
Apruebo Dignidad,CURACO DE VELEZ,74
Del pueblo,CURACO DE VELEZ,304
Lista del apruebo,CURACO DE VELEZ,646
Nueva Constitucion,CURACO DE VELEZ,101
Otros,CURACO DE VELEZ,90
Vamos por Chile,CURACO DE VELEZ,179
Apruebo Dignidad,CURANILAHUE,4154
Lista del apruebo,CURANILAHUE,809
Nueva Constitucion,CURANILAHUE,1386
Otros,CURANILAHUE,2613
Vamos por Chile,CURANILAHUE,1350
Apruebo Dignidad,CURARREHUE,199
Del pueblo,CURARREHUE,424
Lista del apruebo,CURARREHUE,108
Nueva Constitucion,CURARREHUE,102
Otros,CURARREHUE,442
Vamos por Chile,CURARREHUE,374
Apruebo Dignidad,CUREPTO,1456
Del pueblo,CUREPTO,294
Lista del apruebo,CUREPTO,368
Nueva Constitucion,CUREPTO,296
Otros,CUREPTO,571
Vamos por Chile,CUREPTO,1040
Apruebo Dignidad,CURICO,7196
Del pueblo,CURICO,7131
Lista del apruebo,CURICO,9588
Nueva Constitucion,CURICO,3852
Otros,CURICO,5832
Vamos por Chile,CURICO,10300
Apruebo Dignidad,DALCAHUE,263
Del pueblo,DALCAHUE,1021
Lista del apruebo,DALCAHUE,1442
Nueva Constitucion,DALCAHUE,387
Otros,DALCAHUE,253
Vamos por Chile,DALCAHUE,594
Apruebo Dignidad,DIEGO DE ALMAGRO,1790
Del pueblo,DIEGO DE ALMAGRO,590
Lista del apruebo,DIEGO DE ALMAGRO,430
Nueva Constitucion,DIEGO DE ALMAGRO,564
Otros,DIEGO DE ALMAGRO,675
Vamos por Chile,DIEGO DE ALMAGRO,420
Apruebo Dignidad,DONIHUE,778
Del pueblo,DONIHUE,1554
Lista del apruebo,DONIHUE,1460
Otros,DONIHUE,3626
Vamos por Chile,DONIHUE,1103
Apruebo Dignidad,EL BOSQUE,6321
Del pueblo,EL BOSQUE,12640
Lista del apruebo,EL BOSQUE,11840
Otros,EL BOSQUE,11752
Vamos por Chile,EL BOSQUE,6164
Apruebo Dignidad,EL CARMEN,426
Del pueblo,EL CARMEN,929
Lista del apruebo,EL CARMEN,733
Nueva Constitucion,EL CARMEN,638
Otros,EL CARMEN,858
Vamos por Chile,EL CARMEN,1527
Apruebo Dignidad,EL MONTE,426
Del pueblo,EL MONTE,4871
Lista del apruebo,EL MONTE,733
Nueva Constitucion,EL MONTE,638
Otros,EL MONTE,858
Vamos por Chile,EL MONTE,1527
Apruebo Dignidad,EL QUISCO,1680
Del pueblo,EL QUISCO,1382
Lista del apruebo,EL QUISCO,1239
Nueva Constitucion,EL QUISCO,469
Otros,EL QUISCO,985
Vamos por Chile,EL QUISCO,1182
Apruebo Dignidad,EL TABO,1330
Del pueblo,EL TABO,1322
Lista del apruebo,EL TABO,1053
Nueva Constitucion,EL TABO,533
Otros,EL TABO,995
Vamos por Chile,EL TABO,1024
Apruebo Dignidad,EMPEDRADO,399
Del pueblo,EMPEDRADO,195
Lista del apruebo,EMPEDRADO,177
Nueva Constitucion,EMPEDRADO,159
Otros,EMPEDRADO,374
Vamos por Chile,EMPEDRADO,827
Apruebo Dignidad,ERCILLA,399
Del pueblo,ERCILLA,200
Lista del apruebo,ERCILLA,177
Nueva Constitucion,ERCILLA,159
Otros,ERCILLA,374
Vamos por Chile,ERCILLA,827
Apruebo Dignidad,ESTACION CENTRAL,16951
Del pueblo,ESTACION CENTRAL,7207
Lista del apruebo,ESTACION CENTRAL,5198
Otros,ESTACION CENTRAL,8981
Vamos por Chile,ESTACION CENTRAL,6580
Apruebo Dignidad,FLORIDA,375
Del pueblo,FLORIDA,173
Lista del apruebo,FLORIDA,431
Nueva Constitucion,FLORIDA,374
Otros,FLORIDA,1638
Vamos por Chile,FLORIDA,732
Apruebo Dignidad,FREIRE,465
Del pueblo,FREIRE,472
Lista del apruebo,FREIRE,565
Nueva Constitucion,FREIRE,524
Otros,FREIRE,1242
Vamos por Chile,FREIRE,986
Apruebo Dignidad,FREIRINA,375
Del pueblo,FREIRINA,828
Lista del apruebo,FREIRINA,381
Nueva Constitucion,FREIRINA,611
Otros,FREIRINA,144
Vamos por Chile,FREIRINA,201
Apruebo Dignidad,FRESIA,1222
Del pueblo,FRESIA,154
Lista del apruebo,FRESIA,688
Nueva Constitucion,FRESIA,321
Otros,FRESIA,368
Vamos por Chile,FRESIA,1286
Apruebo Dignidad,FRUTILLAR,708
Del pueblo,FRUTILLAR,347
Lista del apruebo,FRUTILLAR,1525
Nueva Constitucion,FRUTILLAR,559
Otros,FRUTILLAR,929
Vamos por Chile,FRUTILLAR,2148
Apruebo Dignidad,FUTALEUFU,73
Del pueblo,FUTALEUFU,67
Lista del apruebo,FUTALEUFU,90
Nueva Constitucion,FUTALEUFU,622
Otros,FUTALEUFU,73
Vamos por Chile,FUTALEUFU,289
Apruebo Dignidad,FUTRONO,267
Del pueblo,FUTRONO,383
Lista del apruebo,FUTRONO,1656
Nueva Constitucion,FUTRONO,285
Otros,FUTRONO,687
Vamos por Chile,FUTRONO,1033
Apruebo Dignidad,GALVARINO,80
Del pueblo,GALVARINO,327
Lista del apruebo,GALVARINO,1025
Nueva Constitucion,GALVARINO,217
Otros,GALVARINO,409
Vamos por Chile,GALVARINO,724
