pacto,comuna,votos
Lista del apruebo,RINCONADA,937
Nueva Constitucion,RINCONADA,487
Otros,RINCONADA,1376
Vamos por Chile,RINCONADA,1049
Apruebo Dignidad,RIO BUENO,787
Del pueblo,RIO BUENO,1149
Lista del apruebo,RIO BUENO,1594
Nueva Constitucion,RIO BUENO,650
Otros,RIO BUENO,1481
Vamos por Chile,RIO BUENO,2233
Apruebo Dignidad,RIO CLARO,1072
Del pueblo,RIO CLARO,545
Lista del apruebo,RIO CLARO,573
Nueva Constitucion,RIO CLARO,401
Otros,RIO CLARO,640
Vamos por Chile,RIO CLARO,1837
Apruebo Dignidad,RIO HURTADO,610
Del pueblo,RIO HURTADO,322
Lista del apruebo,RIO HURTADO,293
Otros,RIO HURTADO,469
Vamos por Chile,RIO HURTADO,306
Apruebo Dignidad,RIO IBANEZ,125
Del pueblo,RIO IBANEZ,285
Lista del apruebo,RIO IBANEZ,233
Otros,RIO IBANEZ,60
Vamos por Chile,RIO IBANEZ,469
Apruebo Dignidad,RIO NEGRO,471
Del pueblo,RIO NEGRO,237
Lista del apruebo,RIO NEGRO,922
Nueva Constitucion,RIO NEGRO,661
Otros,RIO NEGRO,433
Vamos por Chile,RIO NEGRO,1542
Apruebo Dignidad,RIO VERDE,56
Del pueblo,RIO VERDE,39
Lista del apruebo,RIO VERDE,34
Nueva Constitucion,RIO VERDE,30
Otros,RIO VERDE,107
Vamos por Chile,RIO VERDE,126
Apruebo Dignidad,ROMERAL,742
Del pueblo,ROMERAL,562
Lista del apruebo,ROMERAL,789
Nueva Constitucion,ROMERAL,362
Otros,ROMERAL,1652
Vamos por Chile,ROMERAL,1550
Apruebo Dignidad,SAAVEDRA,170
Del pueblo,SAAVEDRA,1416
Lista del apruebo,SAAVEDRA,192
Nueva Constitucion,SAAVEDRA,141
Otros,SAAVEDRA,481
Vamos por Chile,SAAVEDRA,243
Apruebo Dignidad,SAGRADA FAMILIA,1300
Del pueblo,SAGRADA FAMILIA,1056
Lista del apruebo,SAGRADA FAMILIA,1147
Nueva Constitucion,SAGRADA FAMILIA,515
Otros,SAGRADA FAMILIA,1199
Vamos por Chile,SAGRADA FAMILIA,1765
Apruebo Dignidad,SALAMANCA,614
Del pueblo,SALAMANCA,4474
Lista del apruebo,SALAMANCA,702
Otros,SALAMANCA,1593
Vamos por Chile,SALAMANCA,1742
Apruebo Dignidad,SAN ANTONIO,12227
Del pueblo,SAN ANTONIO,6019
Lista del apruebo,SAN ANTONIO,2957
Nueva Constitucion,SAN ANTONIO,2114
Otros,SAN ANTONIO,5505
Vamos por Chile,SAN ANTONIO,2570
Apruebo Dignidad,SAN BERNARDO,12227
Del pueblo,SAN BERNARDO,19115
Lista del apruebo,SAN BERNARDO,2957
Nueva Constitucion,SAN BERNARDO,2114
Otros,SAN BERNARDO,5505
Vamos por Chile,SAN BERNARDO,2570
Apruebo Dignidad,SAN CARLOS,1294
Del pueblo,SAN CARLOS,3035
Lista del apruebo,SAN CARLOS,2123
Nueva Constitucion,SAN CARLOS,1716
Otros,SAN CARLOS,2192
Vamos por Chile,SAN CARLOS,3519
Apruebo Dignidad,SAN CLEMENTE,2802
Del pueblo,SAN CLEMENTE,1088
Lista del apruebo,SAN CLEMENTE,2060
Nueva Constitucion,SAN CLEMENTE,712
Otros,SAN CLEMENTE,2878
Vamos por Chile,SAN CLEMENTE,2868
Apruebo Dignidad,SAN ESTEBAN,883
Del pueblo,SAN ESTEBAN,1262
Lista del apruebo,SAN ESTEBAN,1437
Nueva Constitucion,SAN ESTEBAN,777
Otros,SAN ESTEBAN,2047
Vamos por Chile,SAN ESTEBAN,964
Apruebo Dignidad,SAN FABIAN,82
Del pueblo,SAN FABIAN,1893
Lista del apruebo,SAN FABIAN,97
Nueva Constitucion,SAN FABIAN,136
Otros,SAN FABIAN,184
Vamos por Chile,SAN FABIAN,317
Apruebo Dignidad,SAN FELIPE,4214
Del pueblo,SAN FELIPE,3333
Lista del apruebo,SAN FELIPE,4352
Nueva Constitucion,SAN FELIPE,1912
Otros,SAN FELIPE,6048
Vamos por Chile,SAN FELIPE,3624
Apruebo Dignidad,SAN FERNANDO,7979
Del pueblo,SAN FERNANDO,3161
Lista del apruebo,SAN FERNANDO,3715
Otros,SAN FERNANDO,4430
Vamos por Chile,SAN FERNANDO,7440
Apruebo Dignidad,SAN GREGORIO,35
Del pueblo,SAN GREGORIO,33
Lista del apruebo,SAN GREGORIO,63
Nueva Constitucion,SAN GREGORIO,26
Otros,SAN GREGORIO,70
Vamos por Chile,SAN GREGORIO,65
Apruebo Dignidad,SAN IGNACIO,453
Del pueblo,SAN IGNACIO,857
Lista del apruebo,SAN IGNACIO,666
Nueva Constitucion,SAN IGNACIO,769
Otros,SAN IGNACIO,904
Vamos por Chile,SAN IGNACIO,1439
Apruebo Dignidad,SAN JAVIER,2147
Del pueblo,SAN JAVIER,3726
Lista del apruebo,SAN JAVIER,3111
Vamos por Chile,SAN JAVIER,3627
Apruebo Dignidad,SAN JOAQUIN,6763
Del pueblo,SAN JOAQUIN,6253
Lista del apruebo,SAN JOAQUIN,5150
Nueva Constitucion,SAN JOAQUIN,3504
Otros,SAN JOAQUIN,9208
Vamos por Chile,SAN JOAQUIN,3147
Apruebo Dignidad,SAN JOSE DE MAIPO,1716
Del pueblo,SAN JOSE DE MAIPO,668
Lista del apruebo,SAN JOSE DE MAIPO,545
Nueva Constitucion,SAN JOSE DE MAIPO,1662
Otros,SAN JOSE DE MAIPO,1741
Vamos por Chile,SAN JOSE DE MAIPO,1358
Apruebo Dignidad,SAN JUAN DE LA COSTA,1716
Del pueblo,SAN JUAN DE LA COSTA,50
Lista del apruebo,SAN JUAN DE LA COSTA,545
Nueva Constitucion,SAN JUAN DE LA COSTA,1662
Otros,SAN JUAN DE LA COSTA,1741
Vamos por Chile,SAN JUAN DE LA COSTA,1358
Apruebo Dignidad,SAN MIGUEL,7231
Del pueblo,SAN MIGUEL,10073
Lista del apruebo,SAN MIGUEL,9014
Otros,SAN MIGUEL,10467
Vamos por Chile,SAN MIGUEL,7768
Apruebo Dignidad,SAN NICOLAS,527
Del pueblo,SAN NICOLAS,920
Lista del apruebo,SAN NICOLAS,1086
Nueva Constitucion,SAN NICOLAS,611
Otros,SAN NICOLAS,949
Vamos por Chile,SAN NICOLAS,1115
Apruebo Dignidad,SAN PABLO,375
Del pueblo,SAN PABLO,129
Lista del apruebo,SAN PABLO,678
Nueva Constitucion,SAN PABLO,290
Otros,SAN PABLO,550
Vamos por Chile,SAN PABLO,916
Apruebo Dignidad,SAN PEDRO,568
Del pueblo,SAN PEDRO,300
Lista del apruebo,SAN PEDRO,1248
Nueva Constitucion,SAN PEDRO,372
Otros,SAN PEDRO,177
Vamos por Chile,SAN PEDRO,821
Apruebo Dignidad,SAN PEDRO DE ATACAMA,158
Del pueblo,SAN PEDRO DE ATACAMA,421
Lista del apruebo,SAN PEDRO DE ATACAMA,103
Nueva Constitucion,SAN PEDRO DE ATACAMA,128
Otros,SAN PEDRO DE ATACAMA,529
Vamos por Chile,SAN PEDRO DE ATACAMA,134
Apruebo Dignidad,SAN PEDRO DE LA PAZ,4679
Del pueblo,SAN PEDRO DE LA PAZ,3341
Lista del apruebo,SAN PEDRO DE LA PAZ,4758
Nueva Constitucion,SAN PEDRO DE LA PAZ,4499
Otros,SAN PEDRO DE LA PAZ,10970
Vamos por Chile,SAN PEDRO DE LA PAZ,8178
Apruebo Dignidad,SAN RAFAEL,805
Del pueblo,SAN RAFAEL,385
Lista del apruebo,SAN RAFAEL,527
Nueva Constitucion,SAN RAFAEL,232
Otros,SAN RAFAEL,600
Vamos por Chile,SAN RAFAEL,1127
Apruebo Dignidad,SAN RAMON,4386
Del pueblo,SAN RAMON,8910
Lista del apruebo,SAN RAMON,6460
Otros,SAN RAMON,8050
Vamos por Chile,SAN RAMON,3558
Apruebo Dignidad,SAN ROSENDO,219
Lista del apruebo,SAN ROSENDO,642
Nueva Constitucion,SAN ROSENDO,638
Otros,SAN ROSENDO,460
Vamos por Chile,SAN ROSENDO,265
Apruebo Dignidad,SAN VICENTE,1988
Del pueblo,SAN VICENTE,2795
Lista del apruebo,SAN VICENTE,1692
Otros,SAN VICENTE,7505
Vamos por Chile,SAN VICENTE,2903
Apruebo Dignidad,SANTA BARBARA,371
Lista del apruebo,SANTA BARBARA,723
Nueva Constitucion,SANTA BARBARA,434
Otros,SANTA BARBARA,1054
Vamos por Chile,SANTA BARBARA,1045
Apruebo Dignidad,SANTA CRUZ,1753
Del pueblo,SANTA CRUZ,691
Lista del apruebo,SANTA CRUZ,1635
Otros,SANTA CRUZ,4171
Vamos por Chile,SANTA CRUZ,3465
Apruebo Dignidad,SANTA JUANA,834
Del pueblo,SANTA JUANA,405
Lista del apruebo,SANTA JUANA,821
Nueva Constitucion,SANTA JUANA,580
Otros,SANTA JUANA,1406
Vamos por Chile,SANTA JUANA,911
Apruebo Dignidad,SANTA MARIA,611
Del pueblo,SANTA MARIA,732
Lista del apruebo,SANTA MARIA,1378
Nueva Constitucion,SANTA MARIA,441
Otros,SANTA MARIA,1149
Vamos por Chile,SANTA MARIA,669
Apruebo Dignidad,SANTIAGO,27343
Del pueblo,SANTIAGO,12255
Lista del apruebo,SANTIAGO,15034
Nueva Constitucion,SANTIAGO,12315
Otros,SANTIAGO,25242
Vamos por Chile,SANTIAGO,21296
Apruebo Dignidad,SANTO DOMINGO,1072
Del pueblo,SANTO DOMINGO,630
Lista del apruebo,SANTO DOMINGO,782
Nueva Constitucion,SANTO DOMINGO,285
Otros,SANTO DOMINGO,767
Vamos por Chile,SANTO DOMINGO,2412
Apruebo Dignidad,SIERRA GORDA,153
Del pueblo,SIERRA GORDA,141
Lista del apruebo,SIERRA GORDA,221
Nueva Constitucion,SIERRA GORDA,78
Otros,SIERRA GORDA,244
Vamos por Chile,SIERRA GORDA,153
Apruebo Dignidad,TALAGANTE,5729
Del pueblo,TALAGANTE,6660
Lista del apruebo,TALAGANTE,5012
Nueva Constitucion,TALAGANTE,2583
Otros,TALAGANTE,1358
Vamos por Chile,TALAGANTE,4808
Apruebo Dignidad,TALCA,17310
Del pueblo,TALCA,6048
Lista del apruebo,TALCA,6248
Nueva Constitucion,TALCA,5558
Otros,TALCA,16921
Vamos por Chile,TALCA,17770
Apruebo Dignidad,TALCAHUANO,6046
Del pueblo,TALCAHUANO,6650
Lista del apruebo,TALCAHUANO,5670
Nueva Constitucion,TALCAHUANO,5912
Otros,TALCAHUANO,13595
Vamos por Chile,TALCAHUANO,8035
Apruebo Dignidad,TALTAL,382
Del pueblo,TALTAL,1831
Lista del apruebo,TALTAL,444
Nueva Constitucion,TALTAL,315
Otros,TALTAL,866
Vamos por Chile,TALTAL,372
Apruebo Dignidad,TEMUCO,7826
Del pueblo,TEMUCO,7914
Lista del apruebo,TEMUCO,10922
Nueva Constitucion,TEMUCO,8881
Otros,TEMUCO,20165
Vamos por Chile,TEMUCO,17755
Apruebo Dignidad,TENO,1577
Del pueblo,TENO,3069
Lista del apruebo,TENO,699
Nueva Constitucion,TENO,452
Otros,TENO,833
Vamos por Chile,TENO,1654
Apruebo Dignidad,TEODORO SCHMIDT,269
Del pueblo,TEODORO SCHMIDT,357
Lista del apruebo,TEODORO SCHMIDT,382
Nueva Constitucion,TEODORO SCHMIDT,351
Otros,TEODORO SCHMIDT,868
Vamos por Chile,TEODORO SCHMIDT,981
Apruebo Dignidad,TIERRA AMARILLA,1339
Del pueblo,TIERRA AMARILLA,669
Lista del apruebo,TIERRA AMARILLA,784
Nueva Constitucion,TIERRA AMARILLA,663
Otros,TIERRA AMARILLA,462
Vamos por Chile,TIERRA AMARILLA,552
Apruebo Dignidad,TILTIL,2581
Del pueblo,TILTIL,861
Lista del apruebo,TILTIL,631
Otros,TILTIL,1212
Vamos por Chile,TILTIL,997
Apruebo Dignidad,TIMAUKEL,32
Del pueblo,TIMAUKEL,18
Lista del apruebo,TIMAUKEL,32
Nueva Constitucion,TIMAUKEL,16
Otros,TIMAUKEL,96
Vamos por Chile,TIMAUKEL,67
Apruebo Dignidad,TIRUA,163
Lista del apruebo,TIRUA,65
Nueva Constitucion,TIRUA,431
Otros,TIRUA,229
Vamos por Chile,TIRUA,244
Apruebo Dignidad,TOCOPILLA,527
Del pueblo,TOCOPILLA,3935
Lista del apruebo,TOCOPILLA,591
Nueva Constitucion,TOCOPILLA,404
Otros,TOCOPILLA,1429
Vamos por Chile,TOCOPILLA,539
Apruebo Dignidad,TOLTEN,158
Del pueblo,TOLTEN,218
Lista del apruebo,TOLTEN,194
Nueva Constitucion,TOLTEN,247
Otros,TOLTEN,852
Vamos por Chile,TOLTEN,766
Apruebo Dignidad,TOME,2792
Del pueblo,TOME,2030
Lista del apruebo,TOME,2720
Nueva Constitucion,TOME,1918
Otros,TOME,5111
Vamos por Chile,TOME,5349
Apruebo Dignidad,TORRES DEL PAINE,154
Del pueblo,TORRES DEL PAINE,128
Lista del apruebo,TORRES DEL PAINE,105
Nueva Constitucion,TORRES DEL PAINE,49
Otros,TORRES DEL PAINE,229
Vamos por Chile,TORRES DEL PAINE,159
Apruebo Dignidad,TORTEL,50
Del pueblo,TORTEL,108
Lista del apruebo,TORTEL,69
Otros,TORTEL,20
Vamos por Chile,TORTEL,56
Apruebo Dignidad,TRAIGUEN,196
Del pueblo,TRAIGUEN,440
Lista del apruebo,TRAIGUEN,1027
Nueva Constitucion,TRAIGUEN,455
Otros,TRAIGUEN,877
Vamos por Chile,TRAIGUEN,1834
Apruebo Dignidad,TREHUACO,660
Del pueblo,TREHUACO,485
Lista del apruebo,TREHUACO,487
Nueva Constitucion,TREHUACO,470
Otros,TREHUACO,486
Vamos por Chile,TREHUACO,677
Apruebo Dignidad,TUCAPEL,622
Lista del apruebo,TUCAPEL,881
Nueva Constitucion,TUCAPEL,660
Otros,TUCAPEL,1515
Vamos por Chile,TUCAPEL,958
Apruebo Dignidad,VALDIVIA,8452
Del pueblo,VALDIVIA,8217
Lista del apruebo,VALDIVIA,15011
Nueva Constitucion,VALDIVIA,3911
Otros,VALDIVIA,8932
Vamos por Chile,VALDIVIA,9649
Apruebo Dignidad,VALLENAR,2639
Del pueblo,VALLENAR,3101
Lista del apruebo,VALLENAR,2831
Nueva Constitucion,VALLENAR,3644
Otros,VALLENAR,1194
Vamos por Chile,VALLENAR,1565
Apruebo Dignidad,VALPARAISO,24706
Del pueblo,VALPARAISO,29066
Lista del apruebo,VALPARAISO,13395
Nueva Constitucion,VALPARAISO,6984
Otros,VALPARAISO,17571
Vamos por Chile,VALPARAISO,17737
Apruebo Dignidad,VICHUQUEN,348
Del pueblo,VICHUQUEN,307
Lista del apruebo,VICHUQUEN,758
Nueva Constitucion,VICHUQUEN,333
Otros,VICHUQUEN,358
Vamos por Chile,VICHUQUEN,871
Apruebo Dignidad,VICTORIA,276
Del pueblo,VICTORIA,916
Lista del apruebo,VICTORIA,2290
Nueva Constitucion,VICTORIA,675
Otros,VICTORIA,1633
Vamos por Chile,VICTORIA,3713
Apruebo Dignidad,VICUNA,1492
Del pueblo,VICUNA,2408
Lista del apruebo,VICUNA,2060
Otros,VICUNA,2459
Vamos por Chile,VICUNA,1508
Apruebo Dignidad,VILCUN,1492
Del pueblo,VILCUN,915
Lista del apruebo,VILCUN,2060
Otros,VILCUN,2459
Vamos por Chile,VILCUN,1508
Apruebo Dignidad,VILLA ALEGRE,973
Del pueblo,VILLA ALEGRE,1250
Lista del apruebo,VILLA ALEGRE,987
Vamos por Chile,VILLA ALEGRE,2542
Apruebo Dignidad,VILLA ALEMANA,7857
Del pueblo,VILLA ALEMANA,7878
Lista del apruebo,VILLA ALEMANA,3874
Nueva Constitucion,VILLA ALEMANA,3252
Otros,VILLA ALEMANA,8408
Vamos por Chile,VILLA ALEMANA,7703
Apruebo Dignidad,VILLARRICA,1319
Del pueblo,VILLARRICA,3206
Lista del apruebo,VILLARRICA,1557
Nueva Constitucion,VILLARRICA,1464
Otros,VILLARRICA,4094
Vamos por Chile,VILLARRICA,3336
Apruebo Dignidad,VINA DEL MAR,29306
Del pueblo,VINA DEL MAR,21446
Lista del apruebo,VINA DEL MAR,16648
Nueva Constitucion,VINA DEL MAR,7631
Otros,VINA DEL MAR,14495
Vamos por Chile,VINA DEL MAR,33101
Apruebo Dignidad,VITACURA,2956
Del pueblo,VITACURA,1017
Lista del apruebo,VITACURA,6706
Nueva Constitucion,VITACURA,909
Otros,VITACURA,8587
Vamos por Chile,VITACURA,35571
Apruebo Dignidad,YERBAS BUENAS,921
Del pueblo,YERBAS BUENAS,1473
Lista del apruebo,YERBAS BUENAS,1677
Vamos por Chile,YERBAS BUENAS,1416
Apruebo Dignidad,YUMBEL,771
Lista del apruebo,YUMBEL,778
Nueva Constitucion,YUMBEL,3293
Otros,YUMBEL,1587
Vamos por Chile,YUMBEL,1008
Apruebo Dignidad,YUNGAY,527
Del pueblo,YUNGAY,1646
Lista del apruebo,YUNGAY,894
Nueva Constitucion,YUNGAY,698
Otros,YUNGAY,1064
Vamos por Chile,YUNGAY,1190
Apruebo Dignidad,ZAPALLAR,1140
Del pueblo,ZAPALLAR,540
Lista del apruebo,ZAPALLAR,720
Nueva Constitucion,ZAPALLAR,362
Otros,ZAPALLAR,823
Vamos por Chile,ZAPALLAR,1863
